Module_Name,License,Secondary License
OpenSSL, OpenSSL
core,MIT
plugin-proposal-class-properties,MIT
plugin-proposal-object-rest-spread,MIT
preset-env,MIT
preset-react,MIT
preset-typescript,MIT
enzyme,MIT
enzyme-adapter-react-16,MIT
file-saver,MIT
google-map-react,MIT
history,MIT
humps,MIT
jest,MIT
json-stable-stringify,MIT
jszip,MIT
lodash,MIT
lodash-es,MIT
memoizee,MIT
mesa,MIT
node,MIT
papaparse,MIT
react,MIT
react-dom,MIT
react-highcharts,MIT
boringssl,OpenSSL
benchmark,Apache-2.0 License
googletest,BSD-3-Clause
rules_proto_grpc,Apache-2.0 License
pybind11_bazel,BSD-3
upb,Google BSD-3
wise_enum,Boost Software License
pytorch_scatter,MIT
easy_profiler,MIT
curl,MIT
com_github_google_re2,BSD 3-Clause License
com_github_grpc_grpc,Apache-2.0 License
com_github_nelhage_rules_boost,Apache-2.0 License
io_bazel_rules_go,Apache-2.0 License
com_google_absl,Apache-2.0 License
pyopenssl,Apache-2.0 License
